127.0.0.1, 2012-04-10 23:32:16, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.000330
127.0.0.1, 2012-04-10 23:32:16, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.000298
127.0.0.1, 2012-04-10 23:32:16, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.002375
127.0.0.1, 2012-04-10 23:32:16, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000762
127.0.0.1, 2012-04-10 23:32:16, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 304, 0.001016
127.0.0.1, 2012-04-10 23:32:16, GET, /admin/static/images/folder.png, HTTP/1.1, 304, 0.000406
127.0.0.1, 2012-04-10 23:32:16, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.000320
127.0.0.1, 2012-04-10 23:32:16, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.055196
127.0.0.1, 2012-04-10 23:32:16, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 304, 0.000350
127.0.0.1, 2012-04-10 23:32:16, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 304, 0.000756
127.0.0.1, 2012-04-10 23:32:16, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.000343
127.0.0.1, 2012-04-10 23:32:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000378
127.0.0.1, 2012-04-10 23:32:21, GET, /filemanager/default/index, HTTP/1.1, 200, 0.162716
127.0.0.1, 2012-04-10 23:32:21, GET, /filemanager/static/js/ui-themes/base/ui.all.css, HTTP/1.1, 200, 0.000424
127.0.0.1, 2012-04-10 23:32:21, GET, /filemanager/static/css/elfinder.css, HTTP/1.1, 200, 0.000386
127.0.0.1, 2012-04-10 23:32:21, GET, /filemanager/static/jquery.js, HTTP/1.1, 200, 0.000386
127.0.0.1, 2012-04-10 23:32:21, GET, /filemanager/static/jquery-ui.js, HTTP/1.1, 200, 0.000412
